28,88,0
36,72,0
83,8,0
19,75,0
93,77,1
89,78,1
32,86,0
23,85,0
99,70,1
82,14,0
42,91,1
61,36,0
55,48,0
50,74,1
30,7,0
76,32,0
33,46,0
60,30,0
23,46,0
63,42,0
78,34,0
28,72,0
53,62,0
39,21,0
71,31,0
45,88,1
80,56,1
55,70,1
57,52,0
75,6,0
38,19,0
93,25,0
24,11,0
56,70,1
70,23,0
96,36,1
51,67,0
60,75,1
49,39,0
10,94,0
8,27,0
6,36,0
48,32,0
17,46,0
85,71,1
30,91,1
55,55,0
7,19,0
44,21,0
35,78,0
54,94,1
27,51,0
8,74,0
3,17,0
51,62,0
4,84,0
78,24,0
24,5,0
81,42,1
66,63,1
40,98,1
51,64,0
41,34,0
22,81,0
74,95,1
1,46,0
72,0,0
0,85,0
41,9,0
59,80,1
1,87,0
76,83,1
41,71,0
23,88,0
81,38,0
48,27,0
25,15,0
55,74,1
59,97,1
17,58,0
63,25,0
10,24,0
27,96,1
43,82,1
46,57,0
52,63,0
53,25,0
72,34,0
90,45,1
92,96,1
93,73,1
85,52,1
44,16,0
5,47,0
1,99,0
30,33,0
84,99,1
7,70,0
52,32,0
68,68,1
28,3,0
5,42,0
35,45,0
66,26,0
15,76,0
66,89,1
4,87,0
70,83,1
13,51,0
34,62,0
17,25,0
51,23,0
67,37,0
24,63,0
83,28,0
75,5,0
21,9,0
82,66,1
9,94,0
96,27,1
34,41,0
42,79,1
75,43,0
99,99,1
12,46,0
81,19,0
9,31,0
66,28,0
22,18,0
88,64,1
19,65,0
63,50,0
27,25,0
12,62,0
53,69,1
84,1,0
82,5,0
55,62,0
62,10,0
17,86,0
41,83,1
35,22,0
90,88,1
41,11,0
64,28,0
19,47,0
41,83,1
18,55,0
45,66,0
18,46,0
39,5,0
39,91,1
19,34,0
17,63,0
96,95,1
34,42,0
1,60,0
86,8,0
47,32,0
25,5,0
93,82,1
65,50,0
93,65,1
66,28,0
75,35,0
93,70,1
68,31,0
13,26,0
97,34,1
97,9,0
26,39,0
98,96,1
6,20,0
53,32,0
33,72,0
86,95,1
82,28,0
80,53,1
94,3,0
85,16,0
17,34,0
28,19,0
36,22,0
78,78,1
61,31,0
59,25,0
60,93,1
79,68,1
6,42,0
89,47,1
44,60,0
16,99,0
57,22,0
89,2,0
13,94,0
73,5,0
47,29,0
75,68,1
19,75,0
6,19,0
